drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.3624,0.99131,0.00695,1,0,0.991071,-0.000239,kept
2,1,0.4147,0.9832,0.00811,1,0,0.982143,-0.001057,kept
3,1,1.147,0.97914,0.00406,0,0,0.982143,0.003003,removed_or_merged
4,1,1.8008,0.97103,0.00811,2,0,0.964286,-0.006744,kept
5,1,2.0623,0.96524,0.00579,0,0,0.964286,-0.000954,removed_or_merged
6,1,2.533,0.95771,0.00753,0,0,0.964286,0.006576,removed_or_merged
7,1,2.8207,0.95307,0.00464,1,22,0.953073,3e-06,kept
8,1,3.9191,0.9438,0.00753,0,0,0.953073,0.009273,removed_or_merged
9,1,4.1544,0.93859,0.00521,2,0,0.930648,-0.007942,kept
10,1,4.3898,0.91831,0.02028,1,0,0.919435,0.001125,kept
11,1,4.6513,0.91251,0.0058,1,0,0.908223,-0.004287,kept
12,1,4.9128,0.89745,0.01506,1,0,0.89701,-0.00044,kept
13,2,6.2989,0.89282,0.00463,1,0,0.885797,-0.007023,kept
14,2,6.4296,0.8763,0.01652,1,0,0.874585,-0.001715,kept
15,2,6.5866,0.85834,0.01796,1,24,0.858389,4.9e-05,kept
16,2,6.6912,0.84994,0.0084,1,0,0.842193,-0.007747,kept
17,2,6.9004,0.84299,0.00695,0,0,0.842193,-0.000797,removed_or_merged
18,2,7.4757,0.82561,0.01738,1,1,0.825679,6.9e-05,kept
19,2,8.5218,0.7978,0.02781,2,0,0.792652,-0.005148,kept
20,2,10.1432,0.79085,0.00695,0,0,0.792652,0.001802,removed_or_merged
21,2,10.2478,0.78621,0.00464,0,0,0.792652,0.006442,removed_or_merged
22,2,10.3001,0.77578,0.01043,1,0,0.776138,0.000358,kept
23,2,10.4047,0.76999,0.00579,0,0,0.776138,0.006148,removed_or_merged
24,2,10.457,0.76304,0.00695,1,0,0.759625,-0.003415,kept
25,2,10.614,0.7584,0.00464,0,0,0.759625,0.001225,removed_or_merged
26,2,10.8232,0.7555,0.0029,0,0,0.759625,0.004125,removed_or_merged
27,2,11.3462,0.74218,0.01332,1,0,0.743111,0.000931,kept
28,2,11.9739,0.72943,0.01275,1,0,0.726598,-0.002832,kept
29,3,12.34,0.71669,0.01274,1,0,0.710084,-0.006606,kept
30,3,13.2291,0.70278,0.01391,1,0,0.69357,-0.00921,kept
31,3,13.3338,0.69583,0.00695,0,0,0.69357,-0.00226,removed_or_merged
32,3,13.5953,0.67729,0.01854,2,0,0.660543,-0.016747,kept
33,6,30.5417,0.61587,0.06142,0,0,0.660543,0.044673,removed_or_merged
34,6,30.6986,0.57184,0.04403,1,1,0.56618,-0.00566,kept
35,6,30.7509,0.56721,0.00463,0,0,0.56618,-0.00103,removed_or_merged
36,6,32.2677,0.56373,0.00348,0,0,0.56618,0.00245,removed_or_merged
